Location	X	Y
data_location_1	1	1
data_location_10	7	2
data_location_11	6	2
data_location_12	5	2
data_location_13	4	2
data_location_14	3	2
data_location_15	2	2
data_location_16	1	2
data_location_17	1	3
data_location_18	2	3
data_location_19	3	3
data_location_2	2	1
data_location_20	4	3
data_location_21	5	3
data_location_22	6	3
data_location_23	7	3
data_location_24	8	3
data_location_25	8	4
data_location_26	7	4
data_location_27	6	4
data_location_28	5	4
data_location_29	4	4
data_location_3	3	1
data_location_30	3	4
data_location_31	2	4
data_location_32	1	4
data_location_33	1	5
data_location_34	2	5
data_location_35	3	5
data_location_36	4	5
data_location_37	5	5
data_location_38	6	5
data_location_39	7	5
data_location_4	4	1
data_location_40	8	5
data_location_41	8	6
data_location_42	7	6
data_location_43	6	6
data_location_44	5	6
data_location_45	4	6
data_location_46	3	6
data_location_47	2	6
data_location_48	1	6
data_location_49	1	7
data_location_5	5	1
data_location_50	2	7
data_location_51	3	7
data_location_52	4	7
data_location_53	5	7
data_location_54	6	7
data_location_55	7	7
data_location_56	8	7
data_location_57	8	8
data_location_58	7	8
data_location_59	6	8
data_location_6	6	1
data_location_60	5	8
data_location_61	4	8
data_location_62	3	8
data_location_63	2	8
data_location_64	1	8
data_location_65	1	9
data_location_66	2	9
data_location_67	3	9
data_location_68	4	9
data_location_69	5	9
data_location_7	7	1
data_location_70	6	9
data_location_71	7	9
data_location_72	8	9
data_location_73	8	10
data_location_74	7	10
data_location_75	6	10
data_location_76	5	10
data_location_77	4	10
data_location_78	3	10
data_location_79	2	10
data_location_8	8	1
data_location_80	1	10
data_location_81	1	11
data_location_82	2	11
data_location_83	3	11
data_location_84	4	11
data_location_85	5	11
data_location_86	6	11
data_location_87	7	11
data_location_88	8	11
data_location_89	8	12
data_location_9	8	2
data_location_90	7	12
data_location_91	6	12
data_location_92	5	12
data_location_93	4	12
data_location_94	3	12
data_location_95	2	12
data_location_96	1	12
